,Total_wait_time,Kiosk_wait_times,Chef_wait_times,Utensil_dispenser_wait_times,Pop_machine_wait_times
0,301,0,210,0,0
1,426,0,312,0,0
2,450,0,359,19,19
3,352,40,209,13,13
4,474,0,307,8,8
5,342,44,220,0,0
6,663,72,417,0,0
7,608,65,372,0,0
8,472,0,381,7,7
9,590,77,386,0,0
10,489,47,256,5,5
11,489,37,264,26,26
12,472,40,323,17,17
13,413,49,271,25,25
14,525,66,359,0,0
15,390,37,211,0,0
16,519,51,392,0,0
17,487,81,279,0,0
18,372,60,216,0,0
19,340,0,263,0,0
20,460,34,320,0,0
21,377,0,281,17,17
22,496,34,393,0,0
23,484,0,395,0,0
24,412,78,187,15,15
25,587,87,387,0,0
26,530,78,298,14,14
27,487,45,326,0,0
28,559,64,332,0,0
29,406,0,318,0,0
30,535,0,397,15,15
31,408,82,221,20,20
32,450,0,284,26,26
33,588,0,419,0,0
34,450,0,315,0,0
35,392,0,300,17,17
36,466,0,314,0,0
37,573,0,398,0,0
38,551,36,350,18,18
39,461,47,240,12,12
40,512,0,357,0,0
41,510,71,373,0,0
42,454,0,275,0,0
43,335,0,192,0,0
44,407,0,306,8,8
45,374,0,206,0,0
46,595,0,411,27,27
47,337,61,189,0,0
48,542,57,396,27,27
49,352,71,194,0,0
50,295,0,209,4,4
51,383,0,233,0,0
52,272,0,189,16,16
